IE_SORT;IE_NAME;IE_DETAIL_PICTURE;IE_DETAIL_PICTURE;IP_PROP5;IP_PROP16;IP_PROP11;IP_PROP14;IP_PROP15;CP_WEIGHT;CP_WIDTH;CP_LENGTH;CP_PURCHASING_PRICE;CP_PURCHASING_CURRENCY
503;DIAMOND Composicion (30*30), 3 плитки;/images/kitchen/absolut/composicion_diamond_30x30.jpg;COMPOSICION DIAMOND 30X30;1123;1123;Декор;68471922;7;1290;300;300;19,75;EUR
504;DIAMOND 1 (10*30);/images/kitchen/absolut/decor_diamond_01_10x30.jpg;DECOR DIAMOND 01 10X30;1123;1123;Декор;68471129;22;430;100;300;6;EUR
505;DIAMOND 2 (10*30);/images/kitchen/absolut/decor_diamond_02_10x30.jpg;DECOR DIAMOND 02 10X30;1123;1123;Декор;68471131;22;430;100;300;6;EUR
500;MONOCOLOR blanco (10*30);/images/kitchen/absolut/blanco_10x30.jpg;BLANCO 10X30;1114;1114;Облицовочная;58302951;1,02;14345;100;300;19,8;EUR
501;MONOCOLOR perla (10*30);/images/kitchen/absolut/perla_10x30.jpg;PERLA 10X30;1114;1114;Облицовочная;70702696;1,02;14345;100;300;20,6;EUR
502;MONOCOLOR marengo (10*30);/images/kitchen/absolut/marengo_10x30.jpg;MARENGO 10X30;1114;1114;Облицовочная;58302960;1,02;14345;100;300;20,6;EUR
503;JAPAN TEA 3 Composicion (20*60), 4 плитки;/images/kitchen/absolut/composicion_japan_tea_03_20x60.jpg;COMPOSICION JAPAN TEA 03 20X60;1114;1114;Декор;68471918;15;1720;200;600;27,3;EUR
504;JAPAN TEA 3A (10*30);/images/kitchen/absolut/decor_japan_tea_03_a_10x30.jpg;DECOR JAPAN TEA 03 A 10X30;1114;1114;Декор;68471124;30;430;100;300;5,5;EUR
505;JAPAN TEA 3B (10*30);/images/kitchen/absolut/decor_japan_tea_03_b_10x30.jpg;DECOR JAPAN TEA 03 B 10X30;1114;1114;Декор;68471125;30;430;100;300;5,5;EUR
506;JAPAN TEA 3C (10*30);/images/kitchen/absolut/decor_japan_tea_03_c_10x30.jpg;DECOR JAPAN TEA 03 C 10X30;1114;1114;Декор;68471126;30;430;100;300;5,5;EUR
500;MONOCOLOR blanco (10*30);/images/kitchen/absolut/blanco_10x30.jpg;BLANCO 10X30;1118;1118;Облицовочная;58302951;1,02;14345;100;300;19,8;EUR
501;MONOCOLOR crema (10*30);/images/kitchen/absolut/crema_10x30.jpg;CREMA 10X30;1118;1118;Облицовочная;58302961;1,02;14345;100;300;20,6;EUR
502;MONOCOLOR beige (10*30);/images/kitchen/absolut/beige_10x30.jpg;BEIGE 10X30;1118;1118;Облицовочная;58302986;1,02;14345;100;300;20,6;EUR
503;MERINGUE 1 (10*30);/images/kitchen/absolut/decor_meringue_01_10x30.jpg;DECOR MERINGUE 01 10X30;1118;1118;Декор;68471121;22;430;100;300;6;EUR
504;MERINGUE 2 (10*30);/images/kitchen/absolut/decor_meringue_02_10x30.jpg;DECOR MERINGUE 02 10X30;1118;1118;Декор;68471122;22;430;100;300;6;EUR
505;MERINGUE 3 (10*30);/images/kitchen/absolut/decor_meringue_03_10x30.jpg;DECOR MERINGUE 03 10X30;1118;1118;Декор;68471123;22;430;100;300;6;EUR
506;MERINGUE Composicion (30*30), 3 плитки;/images/kitchen/absolut/composicion_meringue_30x30.jpg;COMPOSICION MERINGUE 30X30;1118;1118;Декор;68471889;10;1290;300;300;19,75;EUR
500;MONOCOLOR blanco (10*30);/images/kitchen/absolut/blanco_10x30.jpg;BLANCO 10X30;1119;1119;Облицовочная;58302951;1,02;14345;100;300;19,8;EUR
501;MONOCOLOR perla (10*30);/images/kitchen/absolut/perla_10x30.jpg;PERLA 10X30;1119;1119;Облицовочная;70702696;1,02;14345;100;300;20,6;EUR
502;MONOCOLOR marengo (10*30);/images/kitchen/absolut/marengo_10x30.jpg;MARENGO 10X30;1119;1119;Облицовочная;58302960;1,02;14345;100;300;20,6;EUR
503;OLIVES 1 (10*30);/images/kitchen/absolut/decor_olives_01_10x30.jpg;DECOR OLIVES 01 10X30;1119;1119;Декор;58306910;30;430;100;300;5,5;EUR
504;OLIVES 2 (10*30);/images/kitchen/absolut/decor_olives_02_10x30.jpg;DECOR OLIVES 02 10X30;1119;1119;Декор;58306911;30;430;100;300;5,5;EUR
505;OLIVES 3 (10*30);/images/kitchen/absolut/decor_olives_03_10x30.jpg;DECOR OLIVES 03 10X30;1119;1119;Декор;58306912;30;430;100;300;5,5;EUR
506;OLIVES Composicion (30*30), 3 плитки;/images/kitchen/absolut/composicion_olives_30x30.jpg;COMPOSICION OLIVES 30X30;1119;1119;Декор;58304244;10;1290;300;300;18,65;EUR
500;MONOCOLOR crema (10*30);/images/kitchen/absolut/crema_10x30.jpg;CREMA 10X30;1122;1122;Облицовочная;58302961;1,02;14345;100;300;20,6;EUR
501;MONOCOLOR beige (10*30);/images/kitchen/absolut/beige_10x30.jpg;BEIGE 10X30;1122;1122;Облицовочная;58302986;1,02;14345;100;300;20,6;EUR
502;MONOCOLOR marron (10*30);/images/kitchen/absolut/marron_10x30.jpg;MARRON 10X30;1122;1122;Облицовочная;60644268;1,02;14345;100;300;20,6;EUR
503;PARIS 1 (10*30);/images/kitchen/absolut/decor_paris_01_10x30.jpg;DECOR PARIS 01 10X30;1122;1122;Декор;68471113;22;430;100;300;6;EUR
504;PARIS 2 (10*30);/images/kitchen/absolut/decor_paris_02_10x30.jpg;DECOR PARIS 02 10X30;1122;1122;Декор;68471114;22;430;100;300;6;EUR
505;PARIS 3 (10*30);/images/kitchen/absolut/decor_paris_03_10x30.jpg;DECOR PARIS 03 10X30;1122;1122;Декор;68471115;22;430;100;300;6;EUR
506;PARIS Composicion (20*30), 2 плитки;/images/kitchen/absolut/composicion_paris_20x30.jpg;COMPOSICION PARIS 20X30;1122;1122;Декор;68471853;11;860;200;300;12,9;EUR
507;PARIS Composicion (30*30), 3 плитки;/images/kitchen/absolut/composicion_paris_30x30.jpg;COMPOSICION PARIS 30X30;1122;1122;Декор;68471858;7;1290;300;300;19,75;EUR
500;MONOCOLOR crema (10*30);/images/kitchen/absolut/crema_10x30.jpg;CREMA 10X30;1120;1120;Облицовочная;58302961;1,02;14345;100;300;20,6;EUR
501;MONOCOLOR beige (10*30);/images/kitchen/absolut/beige_10x30.jpg;BEIGE 10X30;1120;1120;Облицовочная;58302986;1,02;14345;100;300;20,6;EUR
502;MONOCOLOR marron (10*30);/images/kitchen/absolut/marron_10x30.jpg;MARRON 10X30;1120;1120;Облицовочная;60644268;1,02;14345;100;300;20,6;EUR
503;SPICES Composicion (30*30), 3 плитки;/images/kitchen/absolut/composicion_spices_30x30.jpg;COMPOSICION SPICES 30X30;1120;1120;Декор;68471743;10;1290;300;300;18,65;EUR
504;SPICES 1 (10*30);/images/kitchen/absolut/decor_spices_01_10x30.jpg;DECOR SPICES 01 10X30;1120;1120;Декор;68471108;22;430;100;300;5,5;EUR
505;SPICES 2 (10*30);/images/kitchen/absolut/decor_spices_02_10x30.jpg;DECOR SPICES 02 10X30;1120;1120;Декор;68471109;22;430;100;300;5,5;EUR
